Die Forscher versuchen, ein neues Verfahren zur Datenverschlüsselung zu {{c1::erfinden::icat etmeye}}.|etwas (Akk.) erfinden (hat)|icat etmek|Araştırmacılar, veri şifreleme için yeni bir yöntem icat etmeye çalışıyorlar.
Sag mir bitte die Wahrheit und versuche nicht, wieder eine faule Ausrede zu {{c1::erfinden::uydurmaya}}.|etwas (Akk.) erfinden (hat) (Ausrede/Lüge)|uydurmak (bahane/yalan)|Lütfen bana doğruyu söyle ve yine uyduruk bir bahane uydurmaya çalışma.
Bitte geben Sie bei IT-Support-Anfragen immer Ihre interne {{c1::Rufnummer::telefon numaranızı}} im Ticket an.|die Rufnummer, -n|telefon numarası|Lütfen BT destek taleplerinde (ticket) her zaman dahili telefon numaranızı belirtin.
Der {{c1::Verbleib::akıbeti (nerede olduğu)}} der ausgemusterten Firmenlaptops muss aus Datenschutzgründen lückenlos dokumentiert werden.|der Verbleib (Sg.)|akıbet (nerede olduğu/kalıcı yeri)|Hizmetten çıkarılan şirket dizüstü bilgisayarlarının akıbeti (nerede olduğu), veri koruma nedenleriyle eksiksiz bir şekilde belgelenmelidir.
Die völlig undokumentierten API-Änderungen haben im Entwicklerteam große Verwirrung {{c1::gestiftet::yarattı (sebep oldu)}}.|etwas (Akk.) stiften (hat) (in: Verwirrung stiften)|yaratmak (sebep olmak/çıkarmak)|Tamamen belgelenmemiş API değişiklikleri geliştirici ekibinde büyük bir kafa karışıklığı yarattı (sebep oldu).
Nach dem Abschluss des Projekts {{c1::bringe::geri getiriyorum}} ich den geliehenen Test-Laptop sofort ins IT-Büro {{c1::zurück}}.|etwas (Akk.) zurück•bringen (hat)|geri getirmek|Proje tamamlandıktan sonra ödünç aldığım test dizüstü bilgisayarını hemen BT ofisine geri getiriyorum.
Im Serverraum verlaufen die dicken Netzwerkkabel sicher unter dem doppelten {{c1::Fußboden::zeminin (döşemenin)}}.|der Fußboden, -¨|zemin (döşeme)|Sunucu odasındaki kalın ağ kabloları güvenli bir şekilde yükseltilmiş zeminin (döşemenin) altından geçiyor.
Unser IT-Unternehmen hat die öffentliche {{c1::Ausschreibung::ihaleyi}} für die Digitalisierung der städtischen Verwaltung gewonnen.|die Ausschreibung, -en|ihale|BT şirketimiz, belediye yönetiminin dijitalleşmesine yönelik kamu ihalesini kazandı.
Das gesamte Team ist sich völlig {{c1::einig::hemfikir (aynı görüşte)}}, dass der veraltete Code komplett neu geschrieben werden muss.|sich (Dat.) einig sein|hemfikir olmak (aynı görüşte olmak)|Tüm ekip, modası geçmiş kodun tamamen baştan yazılması gerektiği konusunda kesinlikle hemfikir (aynı görüşte).
Beim Usability-Test hatte der ältere {{c1::Proband::denek (katılımcı)}} große Schwierigkeiten, das versteckte Navigationsmenü zu finden.|der Proband, -en, -en|denek (katılımcı)|Kullanılabilirlik (Usability) testinde yaşlı denek (katılımcı) gizli gezinme menüsünü bulmakta büyük zorluk çekti.
Dank der hervorragenden akustischen {{c1::Dämmung::yalıtım (izolasyon)}} im Großraumbüro kann ich beim Programmieren ungestört arbeiten.|die Dämmung, -en|yalıtım (izolasyon)|Açık ofisteki mükemmel akustik yalıtım (izolasyon) sayesinde programlama yaparken rahatsız edilmeden çalışabiliyorum.
Ein extrem hartnäckiges {{c1::Virus::virüs}} hat gestern Nacht unbemerkt sämtliche Konfigurationsdateien auf dem Server verschlüsselt.|das/der Virus, Viren (Informatik)|virüs|Son derece inatçı bir virüs dün gece fark edilmeden sunucudaki tüm yapılandırma dosyalarını şifreledi.
Das System lehnt {{c1::schwache::zayıf}} Passwörter, die leicht zu erraten sind, bei der Registrierung automatisch ab.|schwach (Sicherheit/Leistung)|zayıf (güçsüz/yetersiz)|Sistem, tahmin edilmesi kolay olan zayıf parolaları kayıt sırasında otomatik olarak reddeder.
Wegen des extrem {{c1::schwachen::zayıf (düşük)}} WLAN-Signals im Konferenzraum bricht die Videoübertragung ständig ab.|schwach (Signal/Verbindung)|zayıf (düşük şiddetli)|Konferans salonundaki son derece zayıf (düşük) Wi-Fi sinyali nedeniyle video yayını sürekli kopuyor.
Nach einem kurzen Verbindungsabbruch {{c1::setzt::sürdürüyor (devam ettiriyor)}} der Client den abgebrochenen Datei-Download automatisch {{c1::fort}}.|etwas (Akk.) fort•setzen (hat)|sürdürmek (devam ettirmek)|Kısa bir bağlantı kopukluğundan sonra istemci (client), yarıda kalan dosya indirme işlemini otomatik olarak sürdürüyor (devam ettiriyor).
Das neue Telemedizin-Projekt soll die medizinische {{c1::Unterversorgung::yetersiz hizmeti (kaynak eksikliğini)}} in ländlichen Gebieten technologisch ausgleichen.|die Unterversorgung, -en|yetersiz hizmet (kaynak eksikliği/yetersiz tedarik)|Yeni teletıp projesi, kırsal bölgelerdeki tıbbi yetersiz hizmeti (kaynak eksikliğini) teknolojik olarak telafi etmeyi amaçlıyor.
Um Schmerzen im Handgelenk zu vermeiden, benutze ich am Schreibtisch ausschließlich eine ergonomische vertikale {{c1::Maus::fare}}.|die Maus, -¨e (Informatik)|fare (bilgisayar faresi)|El bileğimdeki ağrıları önlemek için çalışma masasında sadece ergonomik dikey bir fare kullanıyorum.
Meine schmerzhafte Sehnenscheidenentzündung vom vielen Tippen ist dank der Physiotherapie vollständig {{c1::geheilt::iyileşti (şifa buldu)}}.|heilen (ist)|iyileşmek (şifa bulmak)|Çok fazla klavye kullanmaktan (yazmaktan) kaynaklanan ağrılı tendon kılıfı iltihabım, fizyoterapi sayesinde tamamen iyileşti (şifa buldu).
