Working for hours in a dim room can cause your {{c1::pupil::göz bebeği}} to dilate.|pupil|göz bebeği|Loş bir odada saatlerce çalışmak göz bebeğinizin büyümesine neden olabilir.
Scientists believe that a specific {{c1::gene::gen}} can influence how well a person manages sleep cycles.|gene|gen|Bilim insanları, belirli bir genin bir insanın uyku döngülerini ne kadar iyi yönettiğini etkileyebileceğine inanıyor.
The project manager will {{c1::hand::dağıtmak}} the updated sprint schedule {{c1::out}} during the online meeting.|hand something out|dağıtmak|Proje yöneticisi, çevrim içi toplantı sırasında güncellenmiş sprint takvimini dağıtacak.
Successfully deploying the database migration without any system downtime was a major {{c1::accomplishment::başarı}} for the team.|accomplishment|başarı, edinim|Veri tabanı taşıma işlemini sistemde hiçbir kesinti olmadan başarıyla sunucuya yüklemek, ekip için büyük bir başarıydı.
We didn't {{c1::reckon on::hesaba katmak}} such high server traffic during the product launch.|reckon on|hesaba katmak|Ürün lansmanı sırasında bu kadar yüksek sunucu trafiğini hesaba katmamıştık.
The background noise during the online meeting began to {{c1::die away::yavaşça kaybolmak}} once everyone muted their microphones.|die away|yavaşça kaybolmak, dinmek|Herkes mikrofonunu sessize aldığında çevrim içi toplantıdaki arka plan gürültüsü yavaşça kaybolmaya başladı.
The security system automatically blocked an {{c1::attempted::teşebbüs edilen}} unauthorized access to the database.|attempted|teşebbüs edilen|Güvenlik sistemi, veritabanına yönelik yetkisiz bir erişim teşebbüsünü otomatik olarak engelledi.
Some of the legacy code in our system {{c1::dates back to::geçmişe dayanmaktadır}} 2015.|date back to|geçmişi -e dayanmak, -e kadar uzanmak|Sistemimizdeki bazı eski kodların geçmişi 2015 yılına kadar uzanmaktadır.
Our team avoids releasing new updates on {{c1::Saturday::Cumartesi}} to prevent weekend outages.|Saturday|Cumartesi|Ekibimiz, hafta sonu kesintilerini önlemek için Cumartesi günleri yeni güncellemeler yayınlamaktan kaçınır.
Please {{c1::check}} the configuration file {{c1::over::gözden geçirin}} before deploying it to production.|check something over|gözden geçirmek, iyice kontrol etmek|Lütfen canlı ortama aktarmadan önce yapılandırma dosyasını iyice gözden geçirin.
Let's {{c1::run through::üzerinden geçmek}} the deployment checklist before pushing the code to production.|run through something|hızlıca gözden geçirmek, üstünden geçmek|Kodu canlıya almadan önce canlıya alma kontrol listesinin üzerinden hızlıca geçelim.
